Country,Year,GDP per Capita
Pakistan,2020,1278.39735206896
Pakistan,2019,1390.41690981745
Pakistan,2018,1569.33814626355
Palau,2021,13257.2066721026
Palau,2020,14556.5896891862
Palau,2019,15841.1935329812
Palau,2018,16197.7254546986
Panama,2021,15509.8069109784
Panama,2020,13290.5608347594
Panama,2019,16477.9066285687
Panama,2018,16151.3273478476
Papua New Guinea,2021,2607.57861884395
Papua New Guinea,2020,2429.61134586681
Papua New Guinea,2019,2575.77274251891
Papua New Guinea,2018,2566.36833735041
Paraguay,2021,5976.9317978996
Paraguay,2020,5365.47220721191
Paraguay,2019,5821.18199548637
Paraguay,2018,6258.44991640954
Peru,2021,6826.9720069846
Peru,2020,6133.32552410183
Peru,2019,7037.00803692604
Peru,2018,6978.49121548627
Philippines,2021,3484.38593882819
Philippines,2020,3227.57910235199
Philippines,2019,3400.78949772302
Philippines,2018,3168.51036606257
Poland,2021,18635.5104895754
Poland,2020,15987.5753654045
Poland,2019,15874.5220531254
Poland,2018,15658.2120316794
Portugal,2021,24711.4510062111
Portugal,2020,22299.4044062173
Portugal,2019,23343.3628970034
Portugal,2018,23541.1401075289
Puerto Rico,2021,32619.250416757
Puerto Rico,2020,31427.4291136799
Puerto Rico,2019,32916.866800639
Puerto Rico,2018,31615.0667918433
Qatar,2021,71751.8831234838
Qatar,2020,51683.5054353851
Qatar,2019,66841.3013472693
Qatar,2018,71039.8490579352
Romania,2021,14986.7854904274
Romania,2020,13082.3006559554
Romania,2019,12992.0326104674
Romania,2018,12502.2624061935
Russian Federation,2021,12521.5224609375
Russian Federation,2020,10108.3271484375
Russian Federation,2019,11447.701171875
Russian Federation,2018,11211.8876953125
Rwanda,2021,828.833032800998
Rwanda,2020,778.701538550324
Rwanda,2019,810.051420243718
Rwanda,2018,771.773521962568
Samoa,2021,3947.64517905415
Samoa,2020,4099.6600907147
Samoa,2019,4351.94234943706
Samoa,2018,4231.81409469194
San Marino,2021,54168.9828262684
San Marino,2020,44426.6463400658
San Marino,2019,46627.0122356944
San Marino,2018,47950.6880557136
Sao Tome and Principe,2021,2362.58827248102
Sao Tome and Principe,2020,2167.22001796925
Sao Tome and Principe,2019,1935.2931816596
Sao Tome and Principe,2018,1825.59971753966
Saudi Arabia,2021,28396.0864182336
Saudi Arabia,2020,23271.4037647084
Saudi Arabia,2019,27892.8421521179
Saudi Arabia,2018,28036.0264674095
Senegal,2021,1598.10676952274
Senegal,2020,1461.08720350553
Senegal,2019,1431.18128932159
Senegal,2018,1452.55612562445
Serbia,2021,9680.52798074468
Serbia,2020,8098.70955668849
Serbia,2019,7755.632986437
Serbia,2018,7559.86165747394
Seychelles,2021,14982.9111487767
Seychelles,2020,14041.4754074575
Seychelles,2019,19141.5118743615
Seychelles,2018,18440.2340460932
Sierra Leone,2021,885.184270659578
Sierra Leone,2020,845.313836261458
Sierra Leone,2019,843.71251730417
Sierra Leone,2018,845.914540460932
Singapore,2021,79601.4129622433
Singapore,2020,61466.803676358
Singapore,2019,66081.7199235165
Singapore,2018,66840.6373389791
Sint Maarten (Dutch part),2021,32548.4366854902
Sint Maarten (Dutch part),2020,30150.8998380477
Sint Maarten (Dutch part),2019,34861.469528968
Sint Maarten (Dutch part),2018,31708.3110124742
Slovak Republic,2021,22138.1949833348
Slovak Republic,2020,19735.4858280801
Slovak Republic,2019,19406.0589683582
Slovak Republic,2018,19573.3717031314
Slovenia,2021,29187.369382785
Slovenia,2020,25392.0651093612
Slovenia,2019,25814.1687167572
Slovenia,2018,25888.0481065655
Solomon Islands,2021,1996.86976779348
Solomon Islands,2020,2063.33101522108
Solomon Islands,2019,2223.66502559565
Solomon Islands,2018,2278.20633913383
Somalia,2021,549.114743546859
Somalia,2020,518.184778494176
Somalia,2019,539.893931565468
Somalia,2018,509.525802439801
South Africa,2021,6843.39941886204
South Africa,2020,5580.60383075189
South Africa,2019,6533.71121032856
South Africa,2018,6914.1780318076
Spain,2021,30817.6828559001
Spain,2020,27230.3599933583
Spain,2019,29776.2011500384
Spain,2018,30592.1264795541
Sri Lanka,2021,3999.33764677637
Sri Lanka,2020,3846.17449566736
Sri Lanka,2019,4082.69404871533
Sri Lanka,2018,4360.58473469252
St. Kitts and Nevis,2021,18361.1449697886
St. Kitts and Nevis,2020,18859.0190361046
St. Kitts and Nevis,2019,23595.4923231291
St. Kitts and Nevis,2018,22901.3816403197
St. Lucia,2021,10459.1321248092
St. Lucia,2020,8411.19941821204
St. Lucia,2019,11794.2056521711
St. Lucia,2018,11642.7403185172
St. Martin (French part),2021,21668.3776525323
St. Martin (French part),2019,19033.0649634889
St. Vincent and the Grenadines,2021,8481.30537359541
St. Vincent and the Grenadines,2020,8395.09988902412
St. Vincent and the Grenadines,2019,8743.33202133753
St. Vincent and the Grenadines,2018,8428.12677153069
Sudan,2021,712.122009277344
Sudan,2020,577.795227050781
Sudan,2019,709.975280761719
Sudan,2018,731.027465820313
Suriname,2021,5029.84838543953
Suriname,2020,4755.39221710693
Suriname,2019,6629.66775248603
Suriname,2018,6665.74180472239
Sweden,2021,61174.9680215622
Sweden,2020,52653.7565934247
Sweden,2019,51773.0464558993
Sweden,2018,54181.9069780904
Switzerland,2021,93446.4344518943
Switzerland,2020,85897.7843338323
Switzerland,2019,84121.9310304414
Switzerland,2018,85217.3691512274
Syrian Arab Republic,2021,663.614245706815
Syrian Arab Republic,2020,572.355289831901
Syrian Arab Republic,2019,1109.53926036049
Syrian Arab Republic,2018,1098.0668642357
Tajikistan,2021,896.748053372182
Tajikistan,2020,834.311715460625
Tajikistan,2019,871.022372934846
Tajikistan,2018,834.288404578801
Tanzania,2021,1159.85656738281
Tanzania,2020,1117.41528320313
Tanzania,2019,1063.32250976563
Tanzania,2018,1023.10626220703
Thailand,2021,7058.0694998852
Thailand,2020,6985.64393892574
Thailand,2019,7605.69657797759
Thailand,2018,7099.77650081458
Timor-Leste,2021,2684.82704373402
Timor-Leste,2020,1630.86935439232
Timor-Leste,2019,1562.36458881813
Timor-Leste,2018,1219.46598597604
Togo,2021,939.613373786407
Togo,2020,853.578220263722
Togo,2019,826.260654099894
Togo,2018,851.130806891807
Tonga,2021,4912.57950603175
Tonga,2020,4700.44932800575
Tonga,2019,4676.84790348236
Tonga,2018,4638.89774268789
Trinidad and Tobago,2021,17912.5106245714
Trinidad and Tobago,2020,15224.5083495616
Trinidad and Tobago,2019,17431.0269266696
Trinidad and Tobago,2018,18076.3565550233
Tunisia,2021,3885.28166485296
Tunisia,2020,3548.65363663803
Tunisia,2019,3528.87213306798
Tunisia,2018,3628.10366464236
Turkiye,2021,9743.21277804855
Turkiye,2020,8638.73903848102
Turkiye,2019,9215.44049888114
Turkiye,2018,9568.83506330228
Turkmenistan,2021,7051.20211079213
Turkmenistan,2020,6592.60146027748
Turkmenistan,2019,6648.0348960628
Turkmenistan,2018,6125.05169712085
Turks and Caicos Islands,2021,23114.7902123091
Turks and Caicos Islands,2020,17452.6578046047
Turks and Caicos Islands,2019,27273.4376992357
Turks and Caicos Islands,2018,27160.1579568902
Tuvalu,2021,5905.08198095343
Tuvalu,2020,4976.11254109571
Tuvalu,2019,5115.13075950206
Tuvalu,2018,4466.12034928245
Uganda,2021,882.791717542504
Uganda,2020,845.766463890124
Uganda,2019,822.057058189153
Uganda,2018,792.16570022814
Ukraine,2021,4775.94580078125
Ukraine,2020,3709.76928710938
Ukraine,2019,3619.86157226563
Ukraine,2018,3059.0517578125
United Arab Emirates,2021,43360.0211014806
United Arab Emirates,2020,37173.8754100281
United Arab Emirates,2019,44251.4541390148
United Arab Emirates,2018,45689.8570040215
United Kingdom,2021,46896.8662432834
United Kingdom,2020,40201.6812422928
United Kingdom,2019,42662.5353740311
United Kingdom,2018,43203.8141057739
United States,2021,71318.3073592183
United States,2020,64411.3731779373
United States,2019,65604.6815198734
United States,2018,63201.0458483771
Uruguay,2021,17888.211510172
Uruguay,2020,15789.6857422214
Uruguay,2019,18315.7352857194
Uruguay,2018,19249.9401532664
Uzbekistan,2021,2258.51964119278
Uzbekistan,2020,1978.28051860763
Uzbekistan,2019,2041.38480729431
Uzbekistan,2018,1813.08530813664
Vanuatu,2021,3107.20312858002
Vanuatu,2020,3042.98711598286
Vanuatu,2019,3207.44650452083
Vanuatu,2018,3206.68930842127
Viet Nam,2021,3704.1935590038
Viet Nam,2020,3534.03953482647
Viet Nam,2019,3440.90025375434
Viet Nam,2018,3222.31003125366
Virgin Islands (U.S.),2021,42571.0777368471
Virgin Islands (U.S.),2020,39787.3741650202
Virgin Islands (U.S.),2019,38633.5298915336
Virgin Islands (U.S.),2018,36663.2087550584
West Bank and Gaza,2021,3678.63565662194
West Bank and Gaza,2020,3233.56863835858
West Bank and Gaza,2019,3656.85827137011
West Bank and Gaza,2018,3562.33094270256
"Yemen, Rep.",2021,522.173512705812
"Yemen, Rep.",2020,559.564672794182
"Yemen, Rep.",2019,623.376164898164
"Yemen, Rep.",2018,633.887206000087
Zambia,2021,1127.16077872857
Zambia,2020,951.644316655957
Zambia,2019,1258.98619844462
Zambia,2018,1463.89997855593
Zimbabwe,2021,1724.38773104902
Zimbabwe,2020,1730.41348946953
Zimbabwe,2019,1684.02790388182
Zimbabwe,2018,2271.8533351306
