Country,Year,GDP per Capita
Middle East & North Africa (IDA & IBRD countries),2021,3653.41158751434
Middle East & North Africa (IDA & IBRD countries),2020,3174.94415084122
Middle East & North Africa (IDA & IBRD countries),2019,3593.38666747385
Middle East & North Africa (IDA & IBRD countries),2018,3684.084605003
Middle income,2021,5906.22674978763
Middle income,2020,5049.55823705701
Middle income,2019,5267.9276273194
Middle income,2018,5202.51034300538
North America,2021,69382.1728474769
North America,2020,62271.1969150653
North America,2019,63634.786103642
North America,2018,61512.7212012788
OECD members,2021,43133.7860734899
OECD members,2020,38686.327403326
OECD members,2019,39764.8216112273
OECD members,2018,39573.0447485009
Other small states,2021,15120.1040765783
Other small states,2020,13071.2236222876
Other small states,2019,14425.2470146907
Other small states,2018,14455.7757539518
Pacific island small states,2021,3638.30140671833
Pacific island small states,2020,3666.59898132535
Pacific island small states,2019,4170.32118081193
Pacific island small states,2018,4245.78718413539
Post-demographic dividend,2021,49980.4043268261
Post-demographic dividend,2020,44858.1104615819
Post-demographic dividend,2019,45916.4122663126
Post-demographic dividend,2018,45562.8677932304
Pre-demographic dividend,2021,1404.30365764781
Pre-demographic dividend,2020,1313.17035996031
Pre-demographic dividend,2019,1469.63291800162
Pre-demographic dividend,2018,1432.1297922805
Small states,2021,13092.4975736112
Small states,2020,11381.557900564
Small states,2019,12739.8388742478
Small states,2018,12723.981268455
South Asia,2021,2131.30229648282
South Asia,2020,1843.19527438293
South Asia,2019,1952.01340084598
South Asia,2018,1907.38178097978
South Asia (IDA & IBRD),2021,2131.30229648282
South Asia (IDA & IBRD),2020,1843.19527438293
South Asia (IDA & IBRD),2019,1952.01340084598
South Asia (IDA & IBRD),2018,1907.38178097978
Sub-Saharan Africa,2021,1613.8768603775
Sub-Saharan Africa,2020,1474.05531054261
Sub-Saharan Africa,2019,1611.67363549653
Sub-Saharan Africa,2018,1606.1313576289
Sub-Saharan Africa (excluding high income),2021,1612.77003780241
Sub-Saharan Africa (excluding high income),2020,1472.99671243066
Sub-Saharan Africa (excluding high income),2019,1610.17142040812
Sub-Saharan Africa (excluding high income),2018,1604.66374694771
Sub-Saharan Africa (IDA & IBRD countries),2021,1613.8768603775
Sub-Saharan Africa (IDA & IBRD countries),2020,1474.05531054261
Sub-Saharan Africa (IDA & IBRD countries),2019,1611.67363549653
Sub-Saharan Africa (IDA & IBRD countries),2018,1606.1313576289
